Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Filled Price,Ambiguous Flag,QtyMismatch,TotalMismatch
1961373,Coffee,2,2.0,4.0,Credit Card,Takeaway,2023-09-08,2.0,False,False,False
4977031,Cake,4,3.0,12.0,Cash,In-store,2023-05-16,3.0,False,False,False
4271903,Cookie,4,1.0,4.0,Credit Card,In-store,2023-07-19,1.0,False,False,False
7034554,Salad,2,5.0,10.0,UNKNOWN,UNKNOWN,2023-04-27,5.0,False,False,False
3160411,Coffee,2,2.0,4.0,Digital Wallet,In-store,2023-06-11,2.0,False,False,False
2602893,Smoothie,5,4.0,20.0,Credit Card,,2023-03-31,4.0,False,False,False
4433211,,3,3.0,9.0,ERROR,Takeaway,2023-10-06,,True,False,False
6699534,Sandwich,4,4.0,16.0,Cash,UNKNOWN,2023-10-28,4.0,False,False,False
4717867,,5,3.0,15.0,,Takeaway,2023-07-28,,True,False,False
2064365,Sandwich,5,4.0,20.0,,In-store,2023-12-31,4.0,False,False,False
2548360,Salad,5,5.0,25.0,Cash,Takeaway,2023-11-07,5.0,False,False,False
3051279,Sandwich,2,4.0,8.0,Credit Card,Takeaway,,4.0,False,False,False
7619095,Sandwich,2,4.0,8.0,Cash,In-store,2023-05-03,4.0,False,False,False
9437049,Cookie,5,1.0,5.0,,Takeaway,2023-06-01,1.0,False,False,False
8915701,Tea,2,1.5,3.0,,In-store,2023-03-21,,False,False,False
2847255,Salad,3,5.0,15.0,Credit Card,In-store,2023-11-15,5.0,False,False,False
3765707,Sandwich,1,4.0,4.0,,,2023-06-10,4.0,False,False,False
6769710,Juice,2,3.0,6.0,Cash,In-store,2023-02-24,3.0,False,False,False
8876618,Cake,5,3.0,15.0,Cash,ERROR,2023-03-25,3.0,False,False,False
3709394,Juice,4,3.0,12.0,Cash,Takeaway,2023-01-15,3.0,False,False,False
3522028,Smoothie,5,4.0,20.0,Cash,In-store,2023-04-04,4.0,False,False,False
3567645,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-03-30,4.0,False,False,False
5132361,Sandwich,3,4.0,12.0,Digital Wallet,Takeaway,2023-12-01,4.0,False,False,False
2616390,Sandwich,2,4.0,8.0,,,2023-09-18,4.0,False,False,False
9400181,Sandwich,5,4.0,20.0,Cash,In-store,2023-06-03,4.0,False,False,False
7958992,Smoothie,3,4.0,12.0,UNKNOWN,UNKNOWN,2023-12-13,4.0,False,False,False
5183041,Cookie,5,1.0,5.0,Credit Card,In-store,2023-04-20,1.0,False,False,False
5695074,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-04-10,3.0,False,False,False
8467949,Smoothie,5,4.0,20.0,Credit Card,,2023-03-11,4.0,False,False,False
7640952,Cake,4,3.0,12.0,Digital Wallet,Takeaway,,3.0,False,False,False
1736287,Coffee,5,2.0,10.0,Digital Wallet,,2023-06-02,,False,False,False
8927252,Cookie,2,1.0,2.0,Credit Card,ERROR,2023-11-06,,False,False,False
9677376,Smoothie,4,4.0,16.0,,In-store,2023-08-15,4.0,False,False,False
7710508,Cookie,5,1.0,5.0,Cash,,,,False,False,False
8853997,Smoothie,2,4.0,8.0,Digital Wallet,Takeaway,2023-10-09,4.0,False,False,False
9130559,Sandwich,1,4.0,4.0,Credit Card,UNKNOWN,2023-05-28,4.0,False,False,False
6855453,,4,3.0,12.0,,In-store,2023-07-17,,True,False,False
1080432,Salad,2,5.0,10.0,Credit Card,In-store,2023-04-29,5.0,False,False,False
2655815,Smoothie,4,4.0,16.0,,Takeaway,2023-06-08,4.0,False,False,False
6688524,Coffee,4,2.0,8.0,ERROR,,2023-06-29,2.0,False,False,False
2083138,Smoothie,3,4.0,12.0,,In-store,2023-04-17,4.0,False,False,False
2427584,Sandwich,4,4.0,16.0,,Takeaway,2023-12-22,4.0,False,False,False
6650263,Tea,2,1.5,3.0,,Takeaway,2023-01-10,1.5,False,False,False
9620080,Juice,4,3.0,12.0,,Takeaway,2023-10-02,3.0,False,False,False
1491578,Cookie,2,1.0,2.0,,,2023-02-23,1.0,False,False,False
5455792,Salad,3,5.0,15.0,Cash,,2023-03-22,5.0,False,False,False
8078640,Juice,4,3.0,12.0,Digital Wallet,In-store,2023-11-03,3.0,False,False,False
9499313,Juice,5,3.0,15.0,,,2023-03-02,3.0,False,False,False
8201146,Juice,5,3.0,15.0,Cash,,2023-06-26,3.0,False,False,False
8230936,Cake,3,3.0,9.0,,ERROR,2023-05-02,3.0,False,False,False
7742742,Cake,5,3.0,15.0,,Takeaway,2023-09-05,3.0,False,False,False
6342161,Salad,5,5.0,25.0,ERROR,Takeaway,2023-01-08,5.0,False,False,False
8914892,Salad,5,5.0,25.0,Digital Wallet,,2023-03-15,,False,False,False
3363746,Smoothie,3,4.0,12.0,Credit Card,,2023-11-25,4.0,False,False,False
8614868,Smoothie,5,4.0,20.0,Digital Wallet,Takeaway,2023-12-05,4.0,False,False,False
5522862,Cookie,2,1.0,2.0,Credit Card,Takeaway,2023-03-19,1.0,False,False,False
3578141,Cake,5,3.0,15.0,,Takeaway,2023-06-27,3.0,False,False,False
2080895,Cake,1,3.0,3.0,Digital Wallet,In-store,2023-04-19,3.0,False,False,False
6421134,Sandwich,4,4.0,16.0,Cash,Takeaway,2023-11-03,4.0,False,False,False
8813311,Juice,5,3.0,15.0,,In-store,2023-10-07,3.0,False,False,False
9023317,Salad,1,5.0,5.0,,,2023-09-30,5.0,False,False,False
8051289,,1,3.0,3.0,,In-store,2023-10-09,,True,False,False
